locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBBINGLK_00036	CDS	603	tfaE_1			Prophage tail fiber assembly protein TfaE
MBBINGLK_00037	CDS	744				hypothetical protein
MBBINGLK_00038	CDS	585				hypothetical protein
MBBINGLK_00039	CDS	1059				hypothetical protein
MBBINGLK_00040	CDS	426				hypothetical protein
MBBINGLK_00041	CDS	549				hypothetical protein
MBBINGLK_00042	CDS	1080				hypothetical protein
MBBINGLK_00043	CDS	1329				hypothetical protein
MBBINGLK_00044	CDS	1836				hypothetical protein
MBBINGLK_00045	CDS	270				hypothetical protein
MBBINGLK_00046	CDS	357				hypothetical protein
MBBINGLK_00047	CDS	1497				hypothetical protein
MBBINGLK_00048	CDS	171				hypothetical protein
MBBINGLK_00049	CDS	561				hypothetical protein
MBBINGLK_00050	CDS	507				hypothetical protein
MBBINGLK_00051	CDS	411				hypothetical protein
MBBINGLK_00052	CDS	324				hypothetical protein
MBBINGLK_00053	CDS	201				hypothetical protein
MBBINGLK_00054	CDS	1206				hypothetical protein
MBBINGLK_00055	CDS	651				hypothetical protein
MBBINGLK_00056	CDS	1242				hypothetical protein
MBBINGLK_00057	CDS	183				hypothetical protein
MBBINGLK_00058	CDS	1734				hypothetical protein
MBBINGLK_00059	CDS	495				hypothetical protein
MBBINGLK_00060	CDS	351				hypothetical protein
MBBINGLK_00061	CDS	168				hypothetical protein
MBBINGLK_00062	CDS	225				hypothetical protein
MBBINGLK_00063	CDS	438				hypothetical protein
MBBINGLK_00064	CDS	477				hypothetical protein
MBBINGLK_00065	CDS	405				hypothetical protein
MBBINGLK_00066	CDS	336				hypothetical protein
MBBINGLK_00067	CDS	753				hypothetical protein
MBBINGLK_00068	CDS	990				hypothetical protein
MBBINGLK_00069	CDS	798				hypothetical protein
MBBINGLK_00070	CDS	390	rusA_1	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
MBBINGLK_00071	CDS	327	lexA_1	3.4.21.88		LexA repressor
MBBINGLK_00072	CDS	654				hypothetical protein
MBBINGLK_00073	CDS	495				hypothetical protein
MBBINGLK_00074	CDS	942				hypothetical protein
MBBINGLK_00075	CDS	339				hypothetical protein
MBBINGLK_00076	CDS	552				hypothetical protein
MBBINGLK_00077	CDS	201				hypothetical protein
MBBINGLK_00078	CDS	675	lexA_2	3.4.21.88		LexA repressor
MBBINGLK_00079	CDS	513				hypothetical protein
MBBINGLK_00080	CDS	363				hypothetical protein
MBBINGLK_00081	CDS	825				hypothetical protein
MBBINGLK_00082	CDS	525				hypothetical protein
MBBINGLK_00083	CDS	867				hypothetical protein
MBBINGLK_00084	CDS	207				hypothetical protein
MBBINGLK_00085	CDS	1173	intQ		COG0582	Putative defective protein IntQ
MBBINGLK_00086	CDS	618				hypothetical protein
MBBINGLK_00087	CDS	327				hypothetical protein
MBBINGLK_00088	CDS	912				hypothetical protein
MBBINGLK_00089	CDS	978	glaH	1.14.11.-		Glutarate 2-hydroxylase
MBBINGLK_00090	CDS	1269	lhgD	1.1.5.-	COG0579	L-2-hydroxyglutarate dehydrogenase
MBBINGLK_00091	CDS	1449	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
MBBINGLK_00092	CDS	1281	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase GabT
MBBINGLK_00093	CDS	1401	gabP		COG1113	GABA permease
MBBINGLK_00094	CDS	663	glaR		COG1802	HTH-type transcriptional repressor GlaR
MBBINGLK_00095	CDS	450	kbp		COG1652	Potassium binding protein Kbp
MBBINGLK_00096	CDS	159				hypothetical protein
MBBINGLK_00097	CDS	300	ygaV		COG0640	putative HTH-type transcriptional regulator YgaV
MBBINGLK_00098	CDS	525	ygaP		COG0607	Inner membrane protein YgaP
MBBINGLK_00099	CDS	405	stpA		COG2916	DNA-binding protein StpA
MBBINGLK_00100	CDS	450	alaE			L-alanine exporter AlaE
MBBINGLK_00101	CDS	345				hypothetical protein
MBBINGLK_00102	CDS	330	ygaM		COG4575	putative protein YgaM
MBBINGLK_00103	CDS	1335	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
MBBINGLK_00104	CDS	432				hypothetical protein
MBBINGLK_00105	CDS	246	nrdH		COG0695	Glutaredoxin-like protein NrdH
MBBINGLK_00106	CDS	411	nrdI		COG1780	Protein NrdI
MBBINGLK_00107	CDS	2145	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 2 subunit alpha
MBBINGLK_00108	CDS	960	nrdF	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 2 subunit beta
MBBINGLK_00109	CDS	1203	proV		COG4175	Glycine betaine/proline betaine transport system ATP-binding protein ProV
MBBINGLK_00110	CDS	1065	proW		COG4176	Glycine betaine/proline betaine transport system permease protein ProW
MBBINGLK_00111	CDS	993	proX		COG2113	Glycine betaine/proline betaine-binding periplasmic protein
MBBINGLK_00112	CDS	1185				putative transporter
MBBINGLK_00113	CDS	738	ygaZ		COG1296	Inner membrane protein YgaZ
MBBINGLK_00114	CDS	336				hypothetical protein
MBBINGLK_00115	CDS	531	mprA_1		COG1846	Transcriptional repressor MprA
MBBINGLK_00116	CDS	1173	emrA_1		COG1566	Multidrug export protein EmrA
MBBINGLK_00117	CDS	1539	emrB_1			Multidrug export protein EmrB
MBBINGLK_00118	CDS	168				hypothetical protein
MBBINGLK_00119	CDS	708				hypothetical protein
MBBINGLK_00120	CDS	1113				hypothetical protein
MBBINGLK_00121	CDS	516	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
MBBINGLK_00122	CDS	1557	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
MBBINGLK_00123	CDS	429	yqaA		COG1238	Inner membrane protein YqaA
MBBINGLK_00124	CDS	567	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
MBBINGLK_00125	tRNA	77				tRNA-Arg(acg)
MBBINGLK_00126	tRNA	77				tRNA-Arg(acg)
MBBINGLK_00127	tRNA	77				tRNA-Arg(acg)
MBBINGLK_00128	tRNA	93				tRNA-Ser(gct)
MBBINGLK_00129	CDS	186	csrA		COG1551	Carbon storage regulator
MBBINGLK_00130	CDS	2631	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
MBBINGLK_00131	CDS	501	recX		COG2137	Regulatory protein RecX
MBBINGLK_00132	CDS	1062	recA		COG0468	Protein RecA
MBBINGLK_00133	CDS	498	pncC_1	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
MBBINGLK_00134	CDS	1086	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
MBBINGLK_00135	CDS	564	srlA		COG3730	PTS system glucitol/sorbitol-specific EIIC component
MBBINGLK_00136	CDS	960	srlE	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
MBBINGLK_00137	CDS	372	srlB		COG3731	PTS system glucitol/sorbitol-specific EIIA component
MBBINGLK_00138	CDS	780	srlD	1.1.1.140	COG1028	Sorbitol-6-phosphate 2-dehydrogenase
MBBINGLK_00139	CDS	360				hypothetical protein
MBBINGLK_00140	CDS	774	srlR_1		COG1349	Glucitol operon repressor
MBBINGLK_00141	CDS	966	gutQ	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase GutQ
MBBINGLK_00142	CDS	1515	norR_1		COG3604	Anaerobic nitric oxide reductase transcription regulator NorR
MBBINGLK_00143	CDS	1440	norV		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
MBBINGLK_00144	CDS	1134	norW	1.18.1.-	COG1251	Nitric oxide reductase FlRd-NAD(+) reductase
MBBINGLK_00145	CDS	2253	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
MBBINGLK_00146	CDS	528	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
MBBINGLK_00147	CDS	1014	ascG		COG1609	HTH-type transcriptional regulator AscG
MBBINGLK_00148	CDS	1458	bglF_1		COG1263	PTS system beta-glucoside-specific EIIBCA component
MBBINGLK_00149	CDS	1425	bglH_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
MBBINGLK_00150	CDS	420	higA		COG5499	Antitoxin HigA
MBBINGLK_00151	CDS	471	hycI_1	3.4.23.51	COG0680	Hydrogenase 3 maturation protease
MBBINGLK_00152	CDS	411				hypothetical protein
MBBINGLK_00153	CDS	768	hycG		COG3260	Formate hydrogenlyase subunit 7
MBBINGLK_00154	CDS	543	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
MBBINGLK_00155	CDS	1710	hycE		COG3261	Formate hydrogenlyase subunit 5
MBBINGLK_00156	CDS	924	hycD		COG0650	Formate hydrogenlyase subunit 4
MBBINGLK_00157	CDS	1827	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
MBBINGLK_00158	CDS	612	hyfA_2	1.-.-.-	COG1142	Hydrogenase-4 component A
MBBINGLK_00159	CDS	462	hycA			Formate hydrogenlyase regulatory protein HycA
MBBINGLK_00160	CDS	351	hypA		COG0375	Hydrogenase maturation factor HypA
MBBINGLK_00161	CDS	873	hypB		COG0378	Hydrogenase maturation factor HypB
MBBINGLK_00162	CDS	273	hypC		COG0298	Hydrogenase maturation factor HypC
MBBINGLK_00163	CDS	1122	hypD		COG0409	Hydrogenase maturation factor HypD
MBBINGLK_00164	CDS	1011	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
MBBINGLK_00165	CDS	2079	fhlA		COG3604	Formate hydrogenlyase transcriptional activator FhlA
MBBINGLK_00166	CDS	429	mopA		COG2005	Molybdenum-pterin-binding protein MopA
MBBINGLK_00167	CDS	345				hypothetical protein
MBBINGLK_00168	CDS	2562	mutS		COG0249	DNA mismatch repair protein MutS
MBBINGLK_00169	CDS	657	pphB	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 2
MBBINGLK_00170	CDS	768	glcR_1		COG1349	HTH-type transcriptional repressor GlcR
MBBINGLK_00171	CDS	909	ltnD	1.1.1.411		L-threonate dehydrogenase
MBBINGLK_00172	CDS	1263	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
MBBINGLK_00173	CDS	639	otnC	4.1.1.104		3-oxo-tetronate 4-phosphate decarboxylase
MBBINGLK_00174	CDS	777	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
MBBINGLK_00175	CDS	1365	ygbN		COG2610	Inner membrane permease YgbN
MBBINGLK_00176	CDS	1044				hypothetical protein
MBBINGLK_00177	CDS	552	fldP_1			Flavodoxin FldP
MBBINGLK_00178	CDS	993	rpoS		COG0568	RNA polymerase sigma factor RpoS
MBBINGLK_00179	CDS	1140	nlpD_1		COG0739	Murein hydrolase activator NlpD
MBBINGLK_00180	CDS	627	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
MBBINGLK_00181	CDS	762	surE	3.1.3.5	COG0496	5'/3'-nucleotidase SurE
MBBINGLK_00182	CDS	1050	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
MBBINGLK_00183	CDS	480	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
MBBINGLK_00184	CDS	711	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
MBBINGLK_00185	CDS	312	ftsB		COG2919	Cell division protein FtsB
MBBINGLK_00186	CDS	324	ygbE			Inner membrane protein YgbE
MBBINGLK_00187	CDS	606	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
MBBINGLK_00188	CDS	1428	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
MBBINGLK_00189	CDS	909	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
MBBINGLK_00190	CDS	1038				hypothetical protein
MBBINGLK_00191	CDS	153	hokE_1			Toxic protein HokE
MBBINGLK_00192	CDS	735	cysH	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
MBBINGLK_00193	CDS	1713	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
MBBINGLK_00194	CDS	1800	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
MBBINGLK_00195	CDS	366	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
MBBINGLK_00196	CDS	1272		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
MBBINGLK_00197	CDS	261	fixX_1		COG2440	Ferredoxin-like protein FixX
MBBINGLK_00198	CDS	576	ygcP		COG1954	putative protein YgcP
MBBINGLK_00199	CDS	861	fixB_1			Protein FixB
MBBINGLK_00200	CDS	780	fixA_1			Protein FixA
MBBINGLK_00201	CDS	1410	ygcS_1			Inner membrane metabolite transport protein YgcS
MBBINGLK_00202	CDS	1455				hypothetical protein
MBBINGLK_00203	CDS	786	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
MBBINGLK_00204	CDS	1278	yqcE			Inner membrane protein YqcE
MBBINGLK_00205	CDS	465	xylB_1	2.7.1.17		Xylulose kinase
MBBINGLK_00206	CDS	990	lsrK	2.7.1.189	COG1070	Autoinducer-2 kinase
MBBINGLK_00207	CDS	672	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
MBBINGLK_00208	CDS	609	lemA		COG1704	Protein LemA
MBBINGLK_00209	CDS	894				hypothetical protein
MBBINGLK_00210	CDS	1149				hypothetical protein
MBBINGLK_00211	CDS	903				hypothetical protein
MBBINGLK_00212	CDS	1299	eno	4.2.1.11	COG0148	Enolase
MBBINGLK_00213	CDS	1638	pyrG	6.3.4.2	COG0504	CTP synthase
MBBINGLK_00214	CDS	792	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
MBBINGLK_00215	CDS	336	mazF	3.1.27.-	COG2337	Endoribonuclease toxin MazF
MBBINGLK_00216	CDS	249	mazE		COG2336	Antitoxin MazE
MBBINGLK_00217	CDS	2235	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
MBBINGLK_00218	CDS	1302	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
MBBINGLK_00219	CDS	2757	barA	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
MBBINGLK_00220	CDS	1341	gudD	4.2.1.40	COG4948	Glucarate dehydratase
MBBINGLK_00221	CDS	1341	gudX	4.2.1.-	COG4948	Glucarate dehydratase-related protein
MBBINGLK_00222	CDS	1353	gudP			putative glucarate transporter
MBBINGLK_00223	CDS	450			COG0716	putative protein
MBBINGLK_00224	CDS	783	truC	5.4.99.26	COG0564	tRNA pseudouridine synthase C
MBBINGLK_00225	CDS	330	yqcC		COG3098	putative protein YqcC
MBBINGLK_00226	CDS	546	syd			Protein Syd
MBBINGLK_00227	CDS	849	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
MBBINGLK_00228	CDS	1365	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
MBBINGLK_00229	CDS	1290	sdaC		COG0814	Serine transporter
MBBINGLK_00230	CDS	1368	sdaB	4.3.1.17	COG1760	L-serine dehydratase 2
MBBINGLK_00231	CDS	846	ygdG	3.1.-.-	COG0258	Flap endonuclease Xni
MBBINGLK_00232	CDS	1149	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
MBBINGLK_00233	CDS	648	fucA_1	4.1.2.17	COG0235	L-fuculose phosphate aldolase
MBBINGLK_00234	CDS	1317	fucP_1		COG0738	L-fucose-proton symporter
MBBINGLK_00235	CDS	1776	fucI	5.3.1.25	COG2407	L-fucose isomerase
MBBINGLK_00236	CDS	1419	fucK_1	2.7.1.51	COG1070	L-fuculokinase
MBBINGLK_00237	CDS	423	fucU	5.1.3.29	COG4154	L-fucose mutarotase
MBBINGLK_00238	CDS	732	ydjF_1		COG1349	putative HTH-type transcriptional regulator YdjF
MBBINGLK_00239	CDS	1101	rlmM	2.1.1.186	COG2933	Ribosomal RNA large subunit methyltransferase M
MBBINGLK_00240	CDS	396				hypothetical protein
MBBINGLK_00241	CDS	918	gcvA			Glycine cleavage system transcriptional activator
MBBINGLK_00242	CDS	228	ygdR_1			putative lipoprotein YgdR
MBBINGLK_00243	CDS	1206	csdA	2.8.1.7	COG0520	Cysteine desulfurase CsdA
MBBINGLK_00244	CDS	444	csdE		COG2166	Sulfur acceptor protein CsdE
MBBINGLK_00245	CDS	801	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
MBBINGLK_00246	CDS	1098	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
MBBINGLK_00247	tRNA	77				tRNA-Met(cat)
MBBINGLK_00248	tRNA	77				tRNA-Met(cat)
MBBINGLK_00249	tRNA	77				tRNA-Met(cat)
MBBINGLK_00250	CDS	501				hypothetical protein
MBBINGLK_00251	CDS	1539				hypothetical protein
MBBINGLK_00252	CDS	1338				hypothetical protein
MBBINGLK_00253	CDS	666				hypothetical protein
MBBINGLK_00254	CDS	1350				hypothetical protein
MBBINGLK_00255	CDS	492	hcpA_1		COG3157	Major exported protein
MBBINGLK_00256	CDS	2646	clpV1_1		COG0542	Protein ClpV1
MBBINGLK_00257	CDS	2481				hypothetical protein
MBBINGLK_00258	CDS	1167				hypothetical protein
MBBINGLK_00259	CDS	612				hypothetical protein
MBBINGLK_00260	CDS	834				hypothetical protein
MBBINGLK_00261	CDS	294				hypothetical protein
MBBINGLK_00262	CDS	261				hypothetical protein
MBBINGLK_00263	CDS	1137				hypothetical protein
MBBINGLK_00264	CDS	3354				hypothetical protein
MBBINGLK_00265	CDS	1638				hypothetical protein
MBBINGLK_00266	CDS	1578				hypothetical protein
MBBINGLK_00267	CDS	555				hypothetical protein
MBBINGLK_00268	CDS	444				hypothetical protein
MBBINGLK_00269	CDS	1761				hypothetical protein
MBBINGLK_00270	CDS	1080				hypothetical protein
MBBINGLK_00271	CDS	537				hypothetical protein
MBBINGLK_00272	CDS	429				hypothetical protein
MBBINGLK_00273	CDS	1377				hypothetical protein
MBBINGLK_00274	CDS	948		1.1.1.81	COG0111	Hydroxypyruvate reductase
MBBINGLK_00275	CDS	597	kdsD_1	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
MBBINGLK_00276	CDS	1176	malY_1		COG1168	Protein MalY
MBBINGLK_00277	CDS	1581	malX_1		COG1263	PTS system maltose-specific EIICB component
MBBINGLK_00278	CDS	825	licT		COG3711	Transcription antiterminator LicT
MBBINGLK_00279	CDS	1254	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
MBBINGLK_00280	CDS	1332	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
MBBINGLK_00281	CDS	1827	recD	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
MBBINGLK_00282	CDS	3543	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
MBBINGLK_00283	CDS	2889	ptrA	3.4.24.55	COG1025	Protease 3
MBBINGLK_00284	CDS	3369	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
MBBINGLK_00285	CDS	324				hypothetical protein
MBBINGLK_00286	CDS	408				hypothetical protein
MBBINGLK_00287	CDS	564				hypothetical protein
MBBINGLK_00288	CDS	471				hypothetical protein
MBBINGLK_00289	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
MBBINGLK_00290	CDS	876	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
MBBINGLK_00291	CDS	2247	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
MBBINGLK_00292	CDS	531	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
MBBINGLK_00293	CDS	147				hypothetical protein
MBBINGLK_00294	CDS	690	mutH		COG3066	DNA mismatch repair protein MutH
MBBINGLK_00295	CDS	714				hypothetical protein
MBBINGLK_00296	CDS	219	ygdR_2			putative lipoprotein YgdR
MBBINGLK_00297	CDS	399	tas_1		COG0667	Protein tas
MBBINGLK_00298	CDS	483	tas_2		COG0667	Protein tas
MBBINGLK_00299	CDS	1194	lplT			Lysophospholipid transporter LplT
MBBINGLK_00300	CDS	2160	aas		COG0204	Bifunctional protein Aas
MBBINGLK_00301	CDS	1032	galR		COG1609	HTH-type transcriptional regulator GalR
MBBINGLK_00302	CDS	1263	lysA	4.1.1.20		Diaminopimelate decarboxylase
MBBINGLK_00303	CDS	936	occR			Octopine catabolism/uptake operon regulatory protein OccR
MBBINGLK_00304	CDS	693	ygeA	5.1.1.13		L-aspartate/glutamate-specific racemase
MBBINGLK_00305	CDS	1419	araE			Arabinose-proton symporter
MBBINGLK_00306	CDS	762	kduD_2	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
MBBINGLK_00307	CDS	837	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
MBBINGLK_00308	CDS	1182	thlA_1	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
MBBINGLK_00309	CDS	1230	yqeG		COG0814	Inner membrane transport protein YqeG
MBBINGLK_00310	tRNA	74				tRNA-Gly(ccc)
MBBINGLK_00311	CDS	756	nlpD_2			Murein hydrolase activator NlpD
MBBINGLK_00312	CDS	2298	xdhA_1	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
MBBINGLK_00313	CDS	879	ndhF	1.17.1.5		Nicotinate dehydrogenase FAD-subunit
MBBINGLK_00314	CDS	480	ndhS	1.17.1.5		Nicotinate dehydrogenase small FeS subunit
MBBINGLK_00315	CDS	1779	norR_2			Anaerobic nitric oxide reductase transcription regulator NorR
MBBINGLK_00316	CDS	1188	ygeW	2.1.3.-	COG0078	Putative carbamoyltransferase YgeW
MBBINGLK_00317	CDS	1197	ygeX	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
MBBINGLK_00318	CDS	1212	argE_1	3.5.1.16	COG0624	Acetylornithine deacetylase
MBBINGLK_00319	CDS	1386	hyuA	3.5.2.-	COG0044	D-phenylhydantoinase
MBBINGLK_00320	CDS	933	arcC1_1	2.7.2.2		Carbamate kinase 1
MBBINGLK_00321	CDS	1626				hypothetical protein
MBBINGLK_00322	CDS	771				hypothetical protein
MBBINGLK_00323	CDS	531	mocA	2.7.7.76	COG2068	Molybdenum cofactor cytidylyltransferase
MBBINGLK_00324	CDS	3099	ygfK		COG0493	Putative oxidoreductase YgfK
MBBINGLK_00325	CDS	1329	ssnA	3.-.-.-	COG0402	Putative aminohydrolase SsnA
MBBINGLK_00326	CDS	780				hypothetical protein
MBBINGLK_00327	CDS	2871	xdhA_2	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
MBBINGLK_00328	CDS	1401	xanQ		COG2233	Xanthine permease XanQ
MBBINGLK_00329	CDS	1317	guaD	3.5.4.3	COG0402	Guanine deaminase
MBBINGLK_00330	CDS	1368	ghxQ		COG2252	Guanine/hypoxanthine permease GhxQ
MBBINGLK_00331	CDS	489	hyfA_3	1.-.-.-	COG1142	Hydrogenase-4 component A
MBBINGLK_00332	CDS	1920		1.18.1.2		Ferredoxin--NADP reductase
MBBINGLK_00333	CDS	1449	uacT		COG2233	Uric acid transporter UacT
MBBINGLK_00334	CDS	126	yqfG			putative protein YqfG
MBBINGLK_00335	CDS	549	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
MBBINGLK_00336	CDS	1518	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
MBBINGLK_00337	CDS	882	prfB		COG1186	Peptide chain release factor RF2
MBBINGLK_00338	CDS	1734	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
MBBINGLK_00339	CDS	711	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
MBBINGLK_00340	CDS	897	xerD		COG4974	Tyrosine recombinase XerD
MBBINGLK_00341	CDS	522	fldB		COG0716	Flavodoxin 2
MBBINGLK_00342	CDS	408	ygfX			Inner membrane protein YgfX
MBBINGLK_00343	CDS	267	sdhE		COG2938	FAD assembly factor SdhE
MBBINGLK_00344	CDS	981	ygfZ		COG0354	tRNA-modifying protein YgfZ
MBBINGLK_00345	CDS	660				hypothetical protein
MBBINGLK_00346	CDS	312				hypothetical protein
MBBINGLK_00347	CDS	1434	bglA_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
MBBINGLK_00348	CDS	2874	gcvP_1	1.4.4.2	COG0403	Glycine dehydrogenase (decarboxylating)
MBBINGLK_00349	CDS	390	gcvH		COG0509	Glycine cleavage system H protein
MBBINGLK_00350	CDS	1095	gcvT_1	2.1.2.10	COG0404	Aminomethyltransferase
MBBINGLK_00351	CDS	1203	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
MBBINGLK_00352	CDS	1179	ubiH_1	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
