# BUSCO version is: 5.4.7 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
837522at2	Complete	NODE_9_length_114122_cov_83.266626	90721	92262	-	642.1	406	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	NODE_22_length_4467_cov_81.811290	244	1272	+	140.0	165	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	NODE_1_length_1289817_cov_80.000615	448041	449051	-	428.6	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	NODE_1_length_1289817_cov_80.000615	1174092	1175129	+	464.8	314	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	NODE_16_length_36302_cov_89.806137	2039	3328	+	694.5	417	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	NODE_5_length_478210_cov_85.356400	215373	216671	+	97.2	244	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	NODE_18_length_26316_cov_88.933636	3821	4642	+	235.4	172	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	NODE_1_length_1289817_cov_80.000615	1003121	1004206	-	330.4	273	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	NODE_1_length_1289817_cov_80.000615	1266278	1267183	-	229.4	220	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	NODE_4_length_587501_cov_84.238320	5990	7141	-	260.0	218	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	NODE_2_length_731141_cov_84.184860	366504	367658	+	460.5	306	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	NODE_1_length_1289817_cov_80.000615	494792	496624	-	288.9	332	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	NODE_11_length_110936_cov_86.423476	30860	31585	-	142.5	154	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	NODE_16_length_36302_cov_89.806137	438	2027	+	612.2	439	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	NODE_3_length_719375_cov_81.195396	455695	456801	-	459.6	328	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	NODE_4_length_587501_cov_84.238320	377138	378088	-	162.1	178	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	NODE_2_length_731141_cov_84.184860	20838	22499	+	304.8	419	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	NODE_2_length_731141_cov_84.184860	73215	74276	-	393.4	261	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	NODE_4_length_587501_cov_84.238320	14044	15360	-	327.5	356	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	NODE_18_length_26316_cov_88.933636	5302	6003	+	213.6	160	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	NODE_4_length_587501_cov_84.238320	15363	16445	-	282.3	260	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	NODE_2_length_731141_cov_84.184860	620068	621012	-	132.5	134	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	NODE_18_length_26316_cov_88.933636	13510	14130	+	216.4	178	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	NODE_2_length_731141_cov_84.184860	517299	518312	-	252.1	234	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	NODE_20_length_7291_cov_85.224735	2213	2980	-	315.2	248	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	NODE_18_length_26316_cov_88.933636	2259	2888	+	178.3	160	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	NODE_4_length_587501_cov_84.238320	21412	22353	-	146.9	161	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	NODE_7_length_183822_cov_84.931789	137163	138383	+	335.0	295	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	NODE_11_length_110936_cov_86.423476	25684	27036	-	135.3	159	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	NODE_18_length_26316_cov_88.933636	9045	9578	+	143.3	133	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Complete	NODE_7_length_183822_cov_84.931789	110274	111293	-	269.6	259	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	NODE_18_length_26316_cov_88.933636	7747	8286	+	228.7	140	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	NODE_16_length_36302_cov_89.806137	32913	33410	-	87.1	114	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	NODE_2_length_731141_cov_84.184860	370944	371675	+	49.9	100	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	NODE_5_length_478210_cov_85.356400	257256	257900	+	141.6	129	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	NODE_2_length_731141_cov_84.184860	14525	15073	-	35.1	50	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	NODE_7_length_183822_cov_84.931789	145862	146485	+	281.2	186	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	NODE_4_length_587501_cov_84.238320	90612	91553	-	202.5	230	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	NODE_18_length_26316_cov_88.933636	9956	10459	+	228.8	148	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	NODE_6_length_215893_cov_86.114184	2895	3365	-	198.4	133	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	NODE_18_length_26316_cov_88.933636	11088	12419	+	360.2	305	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	NODE_18_length_26316_cov_88.933636	2899	3504	+	122.4	99	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	NODE_5_length_478210_cov_85.356400	193229	193648	+	137.7	143	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	NODE_9_length_114122_cov_83.266626	95462	96085	-	68.8	85	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Complete	NODE_4_length_587501_cov_84.238320	375388	376668	-	501.6	372	https://v10-1.orthodb.org/?query=1592033at2	GTPase HflX
1595498at2	Complete	NODE_2_length_731141_cov_84.184860	625789	626241	-	53.3	45	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	NODE_11_length_110936_cov_86.423476	32718	33443	-	272.1	186	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
1661836at2	Complete	NODE_5_length_478210_cov_85.356400	254486	255091	+	161.7	149	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Complete	NODE_18_length_26316_cov_88.933636	4952	5284	+	117.9	85	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	NODE_16_length_36302_cov_89.806137	33702	34406	-	213.6	165	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Complete	NODE_11_length_110936_cov_86.423476	30153	30710	-	162.0	135	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Complete	NODE_3_length_719375_cov_81.195396	511882	512466	-	125.0	113	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	NODE_18_length_26316_cov_88.933636	8640	9032	+	233.6	130	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Complete	NODE_2_length_731141_cov_84.184860	13338	13685	-	121.5	89	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Complete	NODE_9_length_114122_cov_83.266626	89807	90670	-	171.7	143	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Complete	NODE_16_length_36302_cov_89.806137	34410	34838	-	128.8	104	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Complete	NODE_6_length_215893_cov_86.114184	3462	3836	-	174.5	100	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Complete	NODE_18_length_26316_cov_88.933636	13087	13476	+	155.4	96	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1720952at2	Complete	NODE_2_length_731141_cov_84.184860	23939	24421	+	200.3	141	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1758685at2	Complete	NODE_1_length_1289817_cov_80.000615	1265538	1266266	-	73.8	116	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	NODE_1_length_1289817_cov_80.000615	305013	305447	-	101.8	102	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Complete	NODE_2_length_731141_cov_84.184860	677044	677436	-	114.8	98	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1772647at2	Complete	NODE_18_length_26316_cov_88.933636	12714	13070	+	145.6	95	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	NODE_4_length_587501_cov_84.238320	351918	352313	-	65.6	69	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Complete	NODE_18_length_26316_cov_88.933636	6016	6426	+	156.8	101	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Complete	NODE_18_length_26316_cov_88.933636	7036	7407	+	138.1	103	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Complete	NODE_2_length_731141_cov_84.184860	677452	677880	-	163.5	112	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Complete	NODE_16_length_36302_cov_89.806137	32481	32846	-	92.9	91	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Complete	NODE_4_length_587501_cov_84.238320	381288	381749	-	83.7	66	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Complete	NODE_6_length_215893_cov_86.114184	134727	135323	+	99.4	110	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Complete	NODE_5_length_478210_cov_85.356400	441302	441769	-	77.2	75	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	NODE_18_length_26316_cov_88.933636	15186	15569	+	106.4	85	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	NODE_399_length_412_cov_0.870175	1	411	-	52.4	80	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Complete	NODE_4_length_587501_cov_84.238320	303887	304822	+	153.2	178	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Complete	NODE_7_length_183822_cov_84.931789	134257	134736	+	128.2	107	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	NODE_18_length_26316_cov_88.933636	10646	11080	+	78.6	72	https://v10-1.orthodb.org/?query=1874945at2	Ribosomal protein L15
1890943at2	Complete	NODE_1_length_1289817_cov_80.000615	1267180	1267860	-	79.7	105	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	NODE_18_length_26316_cov_88.933636	4659	4937	+	135.0	71	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	NODE_2_length_731141_cov_84.184860	639134	639391	-	125.2	68	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Complete	NODE_2_length_731141_cov_84.184860	19158	19751	-	50.4	73	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	NODE_1_length_1289817_cov_80.000615	304309	304665	-	125.6	92	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	NODE_2_length_731141_cov_84.184860	15092	15340	-	105.1	68	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Complete	NODE_9_length_114122_cov_83.266626	92275	92808	-	136.5	157	https://v10-1.orthodb.org/?query=1937493at2	ATP synthase subunit delta
1940575at2	Complete	NODE_4_length_587501_cov_84.238320	351365	351592	-	87.5	47	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1949059at2	Complete	NODE_2_length_731141_cov_84.184860	639412	639723	-	129.0	99	https://v10-1.orthodb.org/?query=1949059at2	Ribosomal protein L21
1959318at2	Complete	NODE_4_length_587501_cov_84.238320	350874	351323	-	85.5	81	https://v10-1.orthodb.org/?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	NODE_18_length_26316_cov_88.933636	9588	9941	+	134.6	102	https://v10-1.orthodb.org/?query=1963491at2	Ribosomal protein L18
1971380at2	Complete	NODE_2_length_731141_cov_84.184860	621012	621413	-	137.3	123	https://v10-1.orthodb.org/?query=1971380at2	Ribosome-binding factor A
1978865at2	Complete	NODE_18_length_26316_cov_88.933636	3501	3803	+	113.4	92	https://v10-1.orthodb.org/?query=1978865at2	Ribosomal protein L25/L23
1990141at2	Complete	NODE_2_length_731141_cov_84.184860	619650	619919	-	109.2	65	https://v10-1.orthodb.org/?query=1990141at2	Ribosomal protein S15
1990650at2	Complete	NODE_5_length_478210_cov_85.356400	425207	425524	-	90.6	80	https://v10-1.orthodb.org/?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	NODE_4_length_587501_cov_84.238320	91882	92145	+	77.1	80	https://v10-1.orthodb.org/?query=2005443at2	Ribosomal protein S20
2012682at2	Complete	NODE_18_length_26316_cov_88.933636	1915	2226	+	137.4	86	https://v10-1.orthodb.org/?query=2012682at2	Ribosomal protein S10
2035880at2	Complete	NODE_18_length_26316_cov_88.933636	6617	6871	+	93.0	56	https://v10-1.orthodb.org/?query=2035880at2	Ribosomal protein S17/S11
2040741at2	Complete	NODE_18_length_26316_cov_88.933636	7418	7732	+	61.3	52	https://v10-1.orthodb.org/?query=2040741at2	Ribosomal protein L24
2046660at2	Complete	NODE_1_length_1289817_cov_80.000615	304719	304916	-	34.3	33	https://v10-1.orthodb.org/?query=2046660at2	Ribosomal protein L35
2063644at2	Complete	NODE_18_length_26316_cov_88.933636	6426	6617	+	51.3	38	https://v10-1.orthodb.org/?query=2063644at2	Ribosomal protein L29/L35
2066663at2	Complete	NODE_3_length_719375_cov_81.195396	199925	200143	-	93.6	56	https://v10-1.orthodb.org/?query=2066663at2	Translation initiation factor IF-1
2075502at2	Complete	NODE_2_length_731141_cov_84.184860	373310	373726	+	44.5	67	https://v10-1.orthodb.org/?query=2075502at2	YqgF/RNase H-like domain
